nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
138,@yantoyanto1308,2023-09-20T03:09:22Z,"Semua yang trlibat harus di tindak tegas tidak ada tawar menawar harus, kalo perlu itu namanya penyakit jangan cuma di hukum seumur hidup namanya penyakit virus biar tdk menyebar menular tembak mati aja dor, biar tdk brtunas lagi!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",libat tindak tawar tawar nama sakit hukum umur hidup nama sakit virus biar tidak sebar tular tembak mati aja dor biar tidak brtunas,negative
139,@malifcandramata198,2023-09-13T03:05:39Z,"<b>Indonesia Darurat Narkoba</b><br><br>Kata dan kalimat ini sudah sering kita dengar dan kita sudah bosan mendengarnya.<br><br>Penyelundupan narkoba ber-ton2 tiap tahun masuk ke Indonesia melalui perairan, seperti yg pernah tertangkap di perairan Riau, Aceh, Kalimantan, Banten, Teluk Jakarta dll.<br><br>Ini artinya para Produsen dan Pengedar Narkoba tidak segan dan tidak takut dengan Peraturan dan UU Narkoba Negara Republik Indonesia.<br><br>Negeri ini sangat aneh, padahal BNN dan Direktorat Narkoba Polri sudah mengetahui jaringan peredaran narkoba di Indonesia, sudah mengetahui siapa saja pemainnya, jaringannya bagaimana, arah pergerakannya kemana, siapa pembeli dan penjualnya, tetapi peredaran narkoba tetap tidak bisa dikendalikan malah semakin besar dan liar.<br><br>Negeri ini sudah kacau balau, bangsa ini sudah rusak, rakyat terbiasa dg perbuatan kriminal dan maksiat, para pecandu narkoba sudah menjadi beban bagi negara.<br><br>Sudah seharusnya para pengedar narkoba ini dihukum mati.<br><br>Kami sebagai rakyat hanya mengingatkan saja : Anda sebagai Pejabat Negara yang bertanggung jawab terhadap keselamatan dan keamanan rakyat ini, termasuk harus menyelamatkan para generasi penerus.<br><br>Catatan :<br>Pecandu narkoba sudah menjadi beban bagi negara. Di Negeri ini banyak rakyat yg miskin dan kelaparan, lebih bermanfaat memberi makan orang miskin daripada merehabilitasi pecandu narkoba.",indonesia darurat narkobakata kalimat dengar bosan dengar selundup narkoba ber ton tahun indonesia air tangkap air riau aceh kalimantan banten teluk jakarta produsen peedar narkoba segan takut atur narkoba negara republik indonesia negeri aneh bnn direktorat narkoba polri jaring edar narkoba indonesia main jaring arah gera mana beli jual edar narkoba kendali liar negeri kacau balau bangsa rusak rakyat biasa dengan buat kriminal maksiat candu narkoba beban negara peedar narkoba hukum mati rakyat jabat negara tanggung selamat aman rakyat selamat generasi terus catat candu narkoba beban negara negeri rakyat miskin lapar manfaat makan miskin rehabilitasi candu narkoba,negative
140,@iwansetyawan2546,2023-09-13T05:55:01Z,"ya iyalah berani nangkap polisi kita,soal nya udh internasional mslh nya jd mau ga mau polisi nangkap,coba aj fbi sma interpol ga ikut polisi mah ga berani nangkap bandar internasional kya gini",iya berani nangkap polisi sudah internasional mslh tidak polisi nangkap coba fbi sma interpol tidak polisi mah tidak berani nangkap bandar internasional kya gin,negative
141,@melkidadi2302,2023-09-13T03:03:29Z,"Kasus puluhan milyard saja menguap apa lagi sampai 10 T.<br>Klo awal begini hukum masih tampak garang.,dalam perjalanan entah kena hujan, panas, dan angin malam bisa masuk angin lalu meriang.<br>Kasuspun dipidana bebas bersyarat, menjelang hari proklamasi mendpt remisi bebas.😂😂😂",puluh milyard uap hukum garang jalan hujan panas angin malam angin meriang kasus pidana bebas syarat jelang proklamasi mendpt remisi bebas,negative
142,@wulanwulan9442,2023-09-17T00:51:42Z,Alhamdulillah. smoga indonesia. .bersih dr narkoba. kami yg jauh lihat ikut senang. trimakasih bpk&quot; kapolres berta stap ny. 👍👍🙏,alhamdulillah smoga indonesia bersih narkoba senang trimakasih bpk kapolres berta stap,positive
143,@user-jy7lt1xh1f,2023-09-17T22:39:19Z,"Massa Alloh,pada hal Barito/ Kalsel itu terkenal kota santri bahkan ada yg bilang kota Mekkah ke dua kok bisa ya,makasih pak pol 👍👍👍💪💪🙏🙏🙏",massa alloh barito kalsel kenal kota santri bilang kota mek makasih pol,positive
144,@mahmudhidayat1792,2023-09-18T03:58:13Z,"Alhamdulillah polisi kita dapat menangkap gembongan narkoba dan menyita asetnya sungguh suatu prestasi polri  dan patut diapresiasi, selamat dan sukses Polri.",alhamdulillah polisi tangkap gembong narkoba sita aset sungguh prestasi polri patut apresiasi selamat sukses polri,positive
145,@OYXShort,2023-09-16T06:54:59Z,"10 wow, bukan kaleng-kaleng,seumpama 1T dibuat t4 club dugem,,  kmudian narkobanya diedar dit4 itu pula,,, cmiiw😊.. Auto Winstrek...",wow kaleng kaleng umpama club dugem kemudian narkoba edar dit cmiiw auto winstrek,negative
146,@imambudi5806,2023-09-18T00:07:27Z,klo negri ini mo aman terlepas dari narkoba ya pelakunya DIHUKUM MATI termasuk yg mem BACK UP dihukum   MATI termasuk KORUPTOR2 yg ada di negri ini adili dan langsung vonis hukuman MATI ...            ❤❤❤❤❤ INDONESIA,negri mau aman lepas narkoba laku hukum mati mem back hukum mati koruptor negri adil vonis hukum mati indonesia,negative
147,@muhammadhaikal7588,2023-09-13T08:24:05Z,"luar biasa pablo eskobar indonesia, teddy minahasa pakabar ? ko gadisita konoha konoha, dikirain di hukum mati eh iya lupa hukum nya yang mati😂",pablo eskobar indonesia teddy minahasa pakabar gadisita konoha konoha dikirain hukum mati iya lupa hukum mati,negative
148,@lensakeadilan3103,2023-09-13T00:42:50Z,"Masalah narkoba tidak bisa di tuntaskan kerana tidak ada perlawanan yang utuh dan padu. Mengapa demikian?<br><br>Kerana bisnes narkoba gede banget, bisa menggiurkan sesiapa saje yang mendambakan kekayaan dunia<br><br>Apalagi dengan sistem negara ada pemimpin negara yang terlibat. Ahli politik butuh dana besar buat kampanye. Kalau hanya mengharapkan penjual bakso, mungkin ga seberapa. <br><br>Maka ketika ahli politik tersebut  sukses di kampanye dan menjadi pemimpin negara, mereka akan menggunakan aparatus negara dan polisi melindung atau paling tidak, menutup mata dengan aktivitas negara. Makanya pernah ada isu bisnes narkoba dalam penjara<br><br>Kasus seperti ini bukab hanya di Indonesia malah hampir di seluruh negara di dunia<br><br>Bukan hanya bisnes narkoba, bisnes perjudian pun demikian juga sehingga ada aparatus negara seperti polisi bukan hanya  membiarkan, malah melindungi  bisnes perjudian untuk mendapat upeti dari bandar judi dan narkoba<br><br>Pencegahan penggunaan narkoba tidak begitu sulit di kurangi malah di hapus. Iyanya harus bermula dari rumah dan  sekolah. Setelah itu, RT, RW Camat dan seterusnya bisa memainkan peranan memantau warga mereka dan melaporkan jika ada yang menggunakan narkoba",narkoba tuntas karena lawan utuh padu karena bisnes narkoba gede banget giur siapa saje damba kaya duniaapalagi sistem negara pimpin negara libat ahli politik butuh dana kampanye harap jual bakso tidak ahli politik sukses kampanye pimpin negara aparatus negara polisi lindung tutup aktivitas negara isu bisnes narkoba penjarakasus bukab indonesia negara duniabukan bisnes narkoba bisnes judi aparatus negara polisi biar lindung bisnes judi upeti bandar judi narkobapencegahan guna narkoba sulit kurang hapus iya rumah sekolah camat main peran pantau warga lapor narkoba,negative
149,@tigerbladesoul5954,2023-09-12T23:00:10Z,"Semoga narkoba yg disita dimusnahkan semua, tidak dijual sebagian oleh oknum polisi, sitaan segitu gede bakal menggiurkan klau ada oknum polisi yg menjual lagi, kek kasus Tedy Minahasa",moga narkoba sita musnah jual oknum polisi sita segitu gede giur oknum polisi jual kek tedy minahasa,negative
150,@saihosusanto3061,2023-09-19T13:10:16Z,HUKUM MATI DACH.. BIAR CEPET HABIS TUH POPULASI ORG JAHAT. DI NEGRI INI TERMASUK PEJABAT KORUP DAN PEMIMPIN  YG DZOLIM.,hukum mati dach biar cepet habis populasi orang jahat negri jabat korup pimpin dzolim,negative
151,@yohanesboediono2022,2023-09-17T15:02:44Z,MHN PAK POLISI KLO WARTAWAN TANYA BGM TEHNIK KERJA POLISI BISA SUKSES JANGAN DIJAWAB. PAAK RAHASIA         BRAVO POLISI.,mhn polisi wartawan bgm tehnik polisi sukses paak rahasia bravo polisi,positive
152,@CantikaChairunnisa-jw6qr,2023-09-13T01:35:28Z,"thn kemarin BNN paparkan data sabu yg masuk 30ton tapi gak di tindak,BNN cuma tau hitung brpa jumla yg masuk tapi gak di tindak...kan korup",tahun kemarin bnn papar data sabu gak tindak bnn tau hitung brpa jumla gak tindak korup,negative
153,@fadildil6989,2023-09-14T15:43:56Z,"Pdahal pemasuk narkoba terbesar ke,indonesia itu org palembang,yg sudah pindah warga keneragaan belanda.lupa nmanya spa.mkanya tdk bisa d, tangkap,sebab kepolisian dr belanda dan kejaksaannya tdk mau bekerja sama dgn Indonesia.dgn alasan karena masih menerapkan hukuman mati",pdahal masuk narkoba besar indonesia orang palembang pindah warga naga belanda lupa nma spa mka tidak tangkap polisi belanda jaksa tidak dengan indonesia dengan alas terap hukum mati,negative
154,@haeruddinhs9967,2023-09-19T13:02:29Z,"Ini SDH settingan,,narkoba tdk akan pernah habis dindonesia Krn baxak oknum yg terlibat dan yg terjaring SDH direkayasa haxa sebahagian kecil",sudah settingan narkoba tidak habis dindonesia karena baxak oknum libat jaring sudah rekayasa haxa sebahagian,negative
155,@SuperJIPANK,2023-09-12T23:40:00Z,"Pihak Keamanan <br>Hati hati dan harus sigap <br>Indonesia lagi dibidik Demografinya untuk di lumpuhkan tingkat produktifnya. <br><br>Jika usia Demografinya sudah dirusak dan dibuat setres oleh pihak saingan bisnis Negara maka Indonesia akan kehilangan kesempatan Positive dari bonus Demografi itu.<br><br>Ingat juga akan maraknya Judi Online dan Pinjaman Online serta Narkoba, ini akan mempengaruhi qualitas Demografi Indonesia. <br><br>Jadi disini perlu dan harus meningkatkan daya pikir dan Sigap meresponnya",aman hati hati sigap indonesia bidik demografi lumpuh tingkat produktif usia demografi rusak tres saing bisnis negara indonesia hilang sempat positive bonus demografi marak judi online pinjam online narkoba pengaruh qualitas demografi indonesia tingkat daya pikir sigap merespon,negative
156,@ayesaj7931,2023-09-22T04:04:07Z,Penjual narkoba adalah kejahatan.polisi yg mengendalikan peredaran narkoba adalah penghianat bangsa..<br>Kira2 dari 2 penjahat ini mana yg lebih berbahaya bagi Negara ini,jual narkoba jahat polisi kendali edar narkoba penghianat bangsa kira jahat bahaya negara,negative
157,@jamesblntnn,2023-09-13T00:42:32Z,"Bravo pak pol...mendingan uang nya disita dan dialih ke pembangunan infrastruktur di desa desa yg lebih membutuhkan pembangunan ekonomi lebih sejahtera,dari pada dimusnahkan 😢",bravo pol mending uang sita alih bangun infrastruktur desa desa butuh bangun ekonomi sejahtera musnah,positive
158,@fatinaqila2489,2023-09-18T02:28:06Z,Pecumahditangkapin.kalougaditembakmat.harusseluruindonesia.orangyangmerusak.Anak.bangsamasadepan.wajifibunuhsemua.dikeamana.Negara.indonesia.tembamatilangsungbersih.jangandidipenjara.lebihbaiksegeraditembakmatisaja.parapenjahat.janganpandangbulu.,pecumahditangkapin kalougaditembakmat harusseluruindonesia orangyangmerusak anak bangsamasadepan wajifibunuhsemua dikeamana negara indonesia tembamatilangsungbersih jangandidipenjara lebihbaiksegeraditembakmatisaja parapenjahat janganpandangbulu,negative
159,@swarnowawang9452,2023-09-17T01:35:36Z,"Rakya indonesia bangga terhadap bapak polisi yg bisa sergap jaringan ini,semoga pak kapolri sehat slalu ,dan bisa menangkap yang lebih besar lagi kalau bisa hukum mati saja",rakyat indonesia bangga polisi sergap jaring moga kapolri sehat selalu tangkap hukum mati,negative
160,@MuhIshakMuhIshaq,2023-09-12T23:58:30Z,"Woow... Luar biasa. Kapolri Yes the best... 👍👍👍 Saya sangat Mendukung Kenerja Kepolisian Negara dalam memberantas semua Pembuat kejahatan apa pun bentuknya, apalagi dalam masalah Bangsa ini. Hidup Kapolri... 👍🙏",woow kapolri yes the best dukung kenerja polisi negara berantas buat jahat bentuk bangsa hidup kapolri,positive
161,@tiahtiah213,2023-09-17T04:47:05Z,"Hebat ipolisi bisa membasmi bandar2 narkoba, itu polisi hebat, saya doakan semaga klga nya d lindungi sama allah, asal jngan polisi matiin tukang bangunan itu mana  diam d kontrakan, maen hakim sendiri ajah, itu mah sembln polisi pasti kena azab, blm tentu tukang bangunan bersalah, lihat gembong, narkoba mah pada mewah, perut nya sagede2 gentong",hebat polisi basmi bandar narkoba polisi hebat doa semaga klga lindung jngan polisi matiin tukang bangun diam kontra maen hakim ajah mah sembln polisi azab blm tukang bangun salah gembong narkoba mah mewah perut sagede gentong,positive
162,@noormadibmdnoormdnoor6477,2023-09-13T03:38:30Z,"Congrate to Indonesian Police and when they do &quot;undercover&quot;,they are really &quot;the best&quot;.Salute Indonesia Police and we so proud to see this.",congrate indonesian police and when they undercover they are really the best salute indonesia police and proud see this,positive
163,@tedyjohan8852,2023-09-17T05:21:05Z,"Hahaha.... sdh tercium sejak lama... tp, knp stelah konsorsium 303 ngumpet dibui.. br terbongkar ??<br>Dasar.... hukum takut sm pemilik uang bnyk.",sudah cium tapi kenapa stelah konsorsium ngumpet bui bongkar dasar hukum takut milik uang banyak,negative
164,@yongkad2nd,2023-09-16T09:58:28Z,Hihihi... bt apan narkoba yg kelola ORDE DUNGU sndri... ungkap dong IJASAH PALSUNYA FIRAUN ... KAN dongo ape takut... CEMEN,hihihi apan narkoba kelola orde dungu ijasah palsu firaun dongo ape takut cemen,negative
165,@yudhisasang3448,2023-09-18T05:24:02Z,Brobrokx aparat negara yg melindungi jaringan sindikat narkoba perlu diberi ganjaran hukuman yg seberat-betatx.,brobrokx aparat negara lindung jaring sindikat narkoba ganjar hukum berat betatx,negative
166,@ansorijais2196,2023-09-13T00:20:24Z,"Yang jelas dilingkungan polisi harus amanah dan jujur Kalo mau memberantas Narkoba, undang undang perampasan aset dan undang undang batas transaksi tunai harus segera dibuat, agar setiap transaksi bisa di ketahui PPATK.<br>Mari kita dukung polisi yg jujur dan amanah agar peredaran narkoba bisa dituntaskan.",lingkung polisi amanah jujur berantas narkoba undang undang ampas aset undang undang batas transaksi tunai transaksi tahu ppatk mari dukung polisi jujur amanah edar narkoba tuntas,negative
167,@onlinedigitalprinting3489,2023-09-13T18:02:08Z,"Waduh jangan ganggu acak2 dapur penghasilan orang dong!......kan prostitusi, narkoba, judi online menggerakan perekonomian dan investasi masuk...cuan..cuan...cuan",ganggu acak dapur hasil prostitusi narkoba judi online gera ekonomi investasi cuan cuan cuan,negative
168,@trianto_sulta6590,2023-09-14T15:06:01Z,"Semua kehahatan miskinkan , trus bagikan ke rakyat masih banyak yg butuh uang terbukti lampu merah dan emperan masih banyak yg kurang beruntung",kehahatan miskin terus bagi rakyat butuh uang bukti lampu merah emper untung,negative
169,@trfavor23,2023-09-13T08:14:03Z,"Bareskrim dan satuan polisi lainnya bisa dipercaya gak nih barang bukti dan aset 100% disita dimusnahkan diserahkan ke negara? Tolonglah jangan kasih kendor. Hukum mati mereka smua. Bayangkan konsumennya adalah anak cucumu dan kluargamu yg lain. So, hancurkan para pelakunya.",bareskrim satu polisi percaya gak barang bukti aset sita musnah serah negara tolong kasih kendor hukum mati semua bayang konsumen anak cucu kluargamu hancur laku,negative
170,@didiwahyudi-dp8ul,2023-09-15T08:03:59Z,"Itu udah tugas polisi, itu juga gak tau ujungnya gimana,  Gw lebih Tertarik masalah Rempang.. kenapa kalo ada tragedi kemanusiaan yang melibatkan kekuasaan selalu tiba-tiba ada berita tandingan.. biasanya si teroris,,tapi karena banyak yg bilang itu basi ya ganti lah..😅",sudah tugas polisi gak tau ujung gimana tarik rempang tragedi manusia libat kuasa berita tanding teroris bilang basi ganti,negative
171,@ahmautobody2606,2023-09-17T09:51:24Z,"Kalo bisa berantas habis pak,Jagan kayak di sul&#39;sel pengedar ditangkap minyak uang pula baru dilepas polisi kok gendeng",berantas habis jagan kayak sul sel peedar tangkap minyak uang lepas polisi gendeng,negative
172,@haeruddinhs9967,2023-09-19T12:58:59Z,Inilah upaya komunis untuk merusak moral anak bangsa agar bisa menguasai kekayaan alam Indonesia dan yakinlah bahwa yg terjaring itu haxa sebahagian kecil,upaya komunis rusak moral anak bangsa kuasa kaya alam indonesia yakin jaring haxa sebahagian,negative
173,@4ryakemuning,2023-09-13T02:31:45Z,"Seharusnya seluruh aparat kepolisian dari tingkat POLSEK -  POLDA sadar ini loh jaringan pengedar narkoba internasional masih bergentanyangan hidup makmur di NKRI jangan ada lagi oknum - oknum internal sendiri yang menyalahgunakan wewenang nya untuk memperjual belikan barang bukti bahkan dikunsumsi sendiri atau melindungi pengedar di kampung - kampung dengan dalih barang bukti tidak lengkap,  tangkap 3 hari dilepas kalau ada uang tebusan , kita masyarakat ini bosan melihat dan menyaksikan warga di lingkungan RT kita masih ada terus permainan seperti ini entah kurir maupun pengedar maupun pemakai masih terus tangkap lepas tangkap lepas... entah sampai kapan... &quot; coba kita bertanya pada rumput yang bergoyang&quot;",aparat polisi tingkat polsek polda sadar jaring peedar narkoba internasional bergentanyangan hidup makmur nkri oknum oknum internal menyalahgunakan wewenang jual belikan barang bukti dikunsumsi lindung peedar kampung kampung dalih barang bukti lengkap tangkap lepas uang tebus masyarakat bosan saksi warga lingkung main kurir peedar pakai tangkap lepas tangkap lepas coba rumput goyang,negative
174,@alexcobain175,2023-09-14T04:45:51Z,"Knpa kok gk habis2 Sabu sabu, di indonesia, pdahal pngkapan selalu bnyak. Trus pemusnahan narkoba itu apa ya, apa dr pngkapan yg kecil2 itu di kumpulin. Dn trus mreka bisa putar melalui krja sama  dgn orang , utk mncri pangkat/orang yg ngejalani di ajk krja sma mnjadi Bandar dn membutahkn dgn uang juga di jamin aman, slnjutxa bandarxa di jdikan korban dgn gnti topeng.. <br>Smoga polisi indonesia mnjadi jujur, amanah, Amin ya Allah.",kenapa tidak habis sabu sabu indonesia pdahal pngkapan banyak terus musnah narkoba pngkapan kecil kumpulin dan terus mreka putar krja dengan untuk mncri pangkat ngejalani ajk krja sma jadi bandar dan membutahkn dengan uang jamin aman slnjutxa bandarxa jdikan korban dengan gnti topeng smoga polisi indonesia jadi jujur amanah amin,negative
175,@helloday1638,2023-09-13T04:05:02Z,"Kalo narkoba yg ilegal, sulit dan beresiko besar mereka mereka bisa dapat 10T, kenapa nggak coba jualan cilok, bebek goreng atau seblak coba? Mereka kan pada pinter bisnis?",narkoba ilegal sulit resiko nggak coba jual cilok bebek goreng seblak coba pinter bisnis,negative
176,@user-id2fh6cl4c,2023-09-19T23:04:25Z,Kena apa indonesia selalu di jadikan sasaran ladang kejahatan dari Narkoba judi perostistusi dan korupsi saya tau alasannya karena para penegak hukum di Indonesia gampang tergiur sama sogokan alias korupsi jadi orang jahat begitu beraninya selalu melakukan kejahatan di Indonesia coba kalo Indonesia melakukan hukumnya seperti negara cina tidak tangung tangung hukumannya mati buat para penjahat pasti orang2 yg mau berbuat jahat ke Indonesia pasti Berpikir duwa kati alias takut aku harap para penegak hukum Indonesia harus adi dan tegas makasih dari Maun tiyasmukti putra Banjarnegara semangat,indonesia jadi sasar ladang jahat narkoba judi perostistusi korupsi tau alas tegak hukum indonesia gampang giur sogo alias korupsi jahat berani jahat indonesia coba indonesia hukum negara cina tangung tangung hukum mati jahat orang buat jahat indonesia pikir duwa kati alias takut harap tegak hukum indonesia adi makasih maun tiyasmukti putra banjarnegara semangat,negative
177,@muarofahjombang6896,2023-09-18T03:56:34Z,"Semua yg terlibat harus dihukum seberatnya bahkan harus dihukum mati sampai ke akar2nya bahkan yg aparat yg melindunginy agar yg lain jera,untuk melindungi masa depan anak bangsa..😅",libat hukum berat hukum mati aparat melindunginy jera lindung anak bangsa,negative
178,@samsulbahrinurdin5034,2023-09-12T22:52:56Z,Maju terus Bareskrim polri dalam memberantas narkoba.sukses dan sehat selalu bapak Komjen pol Wahyu Widada dan jajaran.,maju bareskrim polri berantas narkoba sukses sehat komjen pol wahyu widada jajar,positive
179,@nurhiii6851,2023-09-16T08:54:03Z,Ya Alloh hamba memohon apapun kejahatan yg merugikan negara semoga semuanya bs terungkap dan di hukum setimpal,alloh hamba mohon apa jahat rugi negara moga ungkap hukum timpal,negative
180,@ningsih7068,2023-09-14T15:43:40Z,Sulit dan mustahil untuk bisa memberantas masalah shabu shabu karna nilai uang nya terlalu besar setiap hari di tangkap namun mo beli sabu sama mudah nya dgn beli beras di kedai apek lehen,sulit mustahil berantas shabu shabu karena nilai uang tangkap mau beli sabu mudah dengan beli beras kedai apek lehen,negative
181,@helmisukanda670,2023-09-14T16:32:04Z,Kalau mau negri ini aman seluruh yg terlibat hukum mati sesuai dgn UUD narkoba .jgn lenyap dan senyap,negri aman libat hukum mati sesuai dengan uud narkoba jangan lenyap senyap,negative
182,@sumiyatibhai2373,2023-09-13T11:48:54Z,Kalau bisa mah cari uang /rizki itu yg halal&quot;aza. Tapi ya gimana walaupun kharam tetap di jalani karna itu tergiur dengan hasil triliunan.,mah cari uang rizki halal aza gimana kharam jalan karena giur hasil triliun,negative
183,@agusbudiman7456,2023-09-17T14:51:23Z,Jangan cuma penggerebekan &amp; penyitaan BBnya aja pak...tapi pemusnahan jg disiarkan secara terbuka..agar tdk ada syak wasangka dikemanakan itu BBnya..,gerebek sita aja musnah juga siar buka tidak syak wasangka mana,negative
184,@terminalkrembung8733,2023-09-12T22:42:53Z,Ini baru keren...semoga penegakan hukum di negara ini semakin bagus...yg pntng gk di ganti tawas sprti yg kmrn&quot; 😢,keren moga tega hukum negara bagus pntng tidak ganti tawas sprti kmrn,positive
185,@ayutsutsui7335,2023-09-15T22:52:10Z,Uang tunai nya bisa buat bayar hutang negara tuh. Para pelakunya hukum mati saja jangan kasih keringan hukum…semangat pak polisi🙏💪💪💪🙏,uang tunai bayar hutang negara laku hukum mati kasih kering hukum semangat polisi,negative
186,@sugenghalianto6462,2023-09-18T09:28:39Z,Gk ad pemasok gk bakalan anak kampung jd kurir/ pengedar klo gk ad kucuran dari atas,tidak ada pasok tidak anak kampung kurir peedar tidak ada kucur,negative
187,@faktiansyahfak4018,2023-09-13T13:04:25Z,"Semoga saja arah sitanya benar, tidak ada BB yg di makan petugas, maupun berupa uang atau sabunya, karma slama ini yg kita denger dr kasus jendral polisi kmren yg mengganti BB sabu dg tawas penangkapan kecil aja banyak yg di makan sendiri dg anggota polri apalagi penangkapan besar gini.",moga arah sita makan tugas uang sabu karma lama denger jendral polisi kmren ganti sabu dengan tawas tangkap aja makan dengan anggota polri tangkap gin,negative
188,@arjunajanuardi1164,2023-09-17T12:47:44Z,Pencitraan😂😂😂Budi Budiman Bawak narkobanya pakai mobil berbintang lgs di eksekusi😂😂😂 agar aja Ngan ketahua😂😂😂,citra budi budiman bawak narkoba pakai mobil bintang lgs eksekusi aja ngan ketahua,negative
189,@amirudin5951,2023-09-15T23:26:15Z,"Terus barang bukti nya mau di apain?<br>A. Di bakar <br>B. Di buang ke laut<br>C. Di puterin lagi<br>D. Syg di buang,itu duit semua 😀",barang bukti apain bakar buang lautc puterin lagid syg buang duit,negative
190,@rijkyaditya7255,2023-09-13T00:42:29Z,Alhamdulillah ya Allah semoga narkoba cepet hilang dari negeri ini ngeri banget klo jaringan narkoba ini tidak terungkap,alhamdulillah moga narkoba cepet hilang negeri ngeri banget jaring narkoba ungkap,positive
191,@user-pd2jg2ft3n,2023-09-13T01:13:54Z,Yakin BBnya tak dicatuk seperti tedy Minahasa? oyah sudah ada peraturan baru bisa sita aset milik bandar narkoba ya? bisa miskinkan mereka? koruptor kok gak bisa dimiskinkan?😅,catuk tedy minahasa oyah atur sita aset milik bandar narkoba miskin koruptor gak miskin,negative
192,@jagaindonesia8173,2023-09-12T23:15:21Z,"INI TERORIS  RADIKAL INTOLERAN YG NYATA,,,,INI YG HARUS DITEMBAK MATI,,,,,BUKAN ENAM LASKAR FPI  YG DITEMBAK MATI,,,,,,,,AYO BUKTIKAN ,,SEGERA TEMBAK MATI,,,",teroris radikal intoleran tembak mati enam laskar fpi tembak mati ayo bukti tembak mati,negative
193,@abqoriechannel9885,2023-09-15T06:50:03Z,"Hebat y ,, jaringan narkoba internasional bisa d tangkap mabes polri,,, klo d jadikan KPK bagus itu,,, tolong pak jokowi printahkan mabes polri untuk memberantas jaringan korupsi yg sdh menjamur d negara ini...",hebat jaring narkoba internasional tangkap mabes polri jadi kpk bagus tolong jokowi printahkan mabes polri berantas jaring korupsi sudah jamur negara,positive
194,@romiismawan7267,2023-09-13T12:59:49Z,"Itu sampah gak usah di itung2 total lah,, mafia dn oknum2 harus di kebiri.hehehehehe<br>Apa di kirim ke korut.",sampah gak itung total mafia dan oknum kebiri heheheheheapa kirim korut,negative
195,@emybany,2023-09-20T03:39:50Z,"Kami sebagai Rakyat Indonesia , berharap semoga penegak hukum bisa tegas memberikan HUKUMAN yang berat buat mereka yang telah MERUSAK GENERASI bangsa, siapapun itu yang sudah terlibat harus di beri HUKUMAN yang SETIMPAL &amp; tidak pandang bulu meskipun Dia aparatur /pejabat negarA.",rakyat indonesia harap moga tegak hukum hukum berat rusak generasi bangsa libat hukum timpal pandang bulu aparatur jabat negara,negative
196,@intannuraini6204,2023-09-13T02:29:59Z,Alhamdulillah. Ketangkap juga mereka mereka yang merusak otak anak muda Indonesia..<br><br><br>Selamat buat polisi atas kerja kerasnya rakyat apresiasi 🎉🎉🎉🎉,alhamdulillah tangkap rusak otak anak muda indonesia selamat polisi keras rakyat apresiasi,positive
197,@gigihhendranawan4385,2023-09-13T00:39:17Z,"Kambing hitam? Goal nya biar dpt kepercayaan masyarakat kembali atas berbagai macam yang mereka lakukan, kanjuruhan masih bohong mereka, menolak lupa, masak jaringan internasional ketangkep sebanyak itu orang nya.. ngakak kayak sinetron drama kolosal",kambing hitam goal biar dpt percaya masyarakat laku kanjuruhan bohong tolak lupa masak jaring internasional ketangkep ngakak kayak sinetron drama kolosal,negative
198,@tarajunaidi4389,2023-09-15T06:14:45Z,"Yg paling heran kenapa didalam penjara masih bisa mengendalikan narkoba, jadiseolah olah penjara bukan efek jera tapi malah jd tmpt persembunyian yg paling aman",heran dalam penjara kendali narkoba jadiseolah olah penjara efek jera tmpt sembunyi aman,negative
199,@mikey-pf4oy,2023-09-16T01:24:29Z,Wah jangan tersangka nya j lh.yg di perlihatkan bukti narkoba nya di bakar juga  lh.ap jangan jangan di ambil yg berseragam terus di jual lagi kpda kepercayaan nya ( pengibus) lalu di edarkan lagi habis itu yg beli di tangkap wah negara konoha keren😅😅😅,sangka lihat bukti narkoba bakar ambil seragam jual kpda percaya ibus edar habis beli tangkap negara konoha keren,negative
200,@sayatktau,2023-09-17T06:50:34Z,Jgn gitu lah bang sisain dikit lah..gimana kami mau nyabu lagi kek gini cerita nya..harga makin mahal lah kayak gini😢😂😂😂,jangan gitu bang sisain dikit gimana nyabu kek gin cerita harga mahal kayak gin,negative
201,@wilzasyahlewi5407,2023-09-15T16:32:57Z,"Tembak mati semua, engga usah pake proses hukum. Nyita waktu, tenaga dan biaya. Hasil sitaan serahkan ke negara.",tembak mati engga pake proses hukum nyita waktu tenaga biaya hasil sita serah negara,negative
202,@darunapis7912,2023-09-15T16:42:18Z,Kok indonesia kayak kota mafia bisnis narkoba.. Pada kemana polisi yang ngaku sebagai pengayom masyarakat..?,indonesia kayak kota mafia bisnis narkoba mana polisi ngaku ayom masyarakat,negative
203,@user-nh4sb3uz5t,2023-09-18T08:02:09Z,"Kita kira ini sudah lama beroperasi di ndonesia, tapi sulit untuk pengungkapan nya. Kira .....kira ini mungkin org yg kemaren sudah tau waktu si dia blm di pecat. Cuma sulit di ungkap karena termasuk cerdik .",operasi ndonesia sulit ungkap orang kemaren tau waktu blm pecat sulit cerdik,negative
