nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
ptinka,2023-09-16T00:40:26Z,Kepala SBU Tier 1 2 Pt Inka Persero MR. FEBRY PANDU WIJAYA Tinjau Persiapan SPKLU PUBLIK PUBLIK PUBLIK ENGERGING G20 Summit Hoho Terminal Benoa Port Bali,kepala sbu tier   pt inka persero mr febry pandu wijaya tinjau siap spklu publik publik publik engerging   summit hoho terminal benoa port bal,neutral
NusdalE,2023-09-16T11:27:41Z,Hotel Bali Siap Summit Summit G20 Jambi G20Indonesia RecovertogetherRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,hotel bal summit summit   jambi   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
MenyusuriJalan,2023-11-11T08:21:30Z,AHM Mempersiapkan 20 Operasi Kendaraan Listrik G20 Kepresidenan KTT Bali,ahm  operasi kendara listrik   presiden k bal,neutral
DamaiSulbar,2023-09-13T05:08:32Z,artinya jihad luas Bali Indonesia KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILARDAS NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarinfo Sulbarmoderate Polewalim Majene MamuJu MamuJutengah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah MamasaHah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah Mamasaah,jihad luas bal indonesia k   damai lawanterorisme tangkalradikisme merdeka pancasilardas nkrihargamati malaqbi melletediangang manakarra sulbarinfo sulbarmoderate polewalim majene mamuju mamujutengah mamasaah mamasaah mamasaah mamasaah mamasaah mamasahah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah mamasaah,positive
waluhrebus,2023-09-17T04:47:05Z,yakin pemerintah masih plongo planga bermain bermain bersalah wajah Indonesia G20 Summit Bali Bad banyak negara menyerang secara politis memojokkan Indonesia meskipun jelas mencurigai polisi regional jawa timur timur,perintah plongo planga main main salah wajah indonesia   summit bal bad negara serang politis pojok indonesia curiga polisi regional jawa timur timur,negative
tauberitamedia,2023-09-17T05:15:39Z,kepala bmkg dwikorita mengatakan bmkg menyiapkan langkah mitigasi mengantisipasi peristiwa skenario terburuk bencana alam g20 summit bali,kepala bmkg dwikorita bmkg langkah mitigasi antisipasi peristiwa skenario buruk bencana alam   summit bal,negative
plnuidbali,2023-09-12T23:58:30Z,Spklu Spread Provinsi Bali Area Strategis Justru Membuat Delegasi Lebih Mudah Ikuti G20 PLN SPKLU KTT KOTA LISTRIFIFIKASI Melepaskan,spklu spread provinsi bal area strategis delegasi mudah ikut   pln spklu k kota listrififikasi lepas,positive
detikfinance,2023-09-19T04:38:46Z,PLN menyatakan banyak 66 SPKLU SIAP FILL KENDARAAN LISTRIK DIGUNAKAN ACARA PEAK G20 Summit Bali Bulan depan,pln  spklu fill kendara listrik acara peak   summit bal,positive
Ireng_Maulana45,2023-09-16T06:08:23Z,Presiden Kembali Pertemuan Finalisasi Persiapan G20 KTT Diadakan Pertemuan Puncak G20 Negara Bali November 2022 Mendekati Presiden Joko Widodo Mengembalikan Rapat Kabinet Pimpinan Pangkat Kabinet,presiden temu final siap   k ada temu puncak   negara bal november     dekat presiden joko widodo kembali rapat kabinet pimpin pangkat kabinet,neutral
tribunbanten,2023-09-19T17:28:25Z,Peringatan 1 079 Langkah Personalia PLN Tetap Keandalan Listrik KTT G20 Bali,ingat     langkah personalia pln andal listrik k   bal,neutral
detikTravel,2023-09-13T23:47:37Z,Persiapan G20 Menko Luhut Summit bertanya kepada kantor sekolah Bali wfh,siap   menko luhut summit kantor sekolah bal wfh,neutral
DamaiSulbar,2023-09-13T02:04:42Z,Pertahanan Keamanan Indonesia saat ini menantang ancaman harmoni polarisasi Indonesia Bali KTT lawanterorisme damai Tangkalradicalism Merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo,tahan aman indonesia tantang ancam harmoni polarisasi indonesia bal k lawanterorisme damai tangkalradicalism merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo,positive
gadisrembulan_,2023-09-13T08:24:05Z,Presiden Ulasan Nomor Fasilitas Kesiapan Dukungan G20 Bali 2022 KTT Jokowi Harapan Persiapan Dibawa G20 Bali 2022 KTT berjalan dengan lancar,presiden ulas nomor fasilitas kesiap dukung   bal     k jokowi harap siap bawa   bal     k jalan lancar,positive
biebie999,2023-09-15T09:27:49Z,Pemerintah Mengantisipasi Gangguan Telekomunikasi Jaringan G20 Summit Bali Sukses Pengembangan Iknsangatu Nangbarahkri,perintah antisipasi ganggu telekomunikasi jaring   summit bal sukses kembang iknsangatu nangbarahkri,neutral
mediabppg,2023-09-13T05:08:19Z,Layanan Fasilitas Kesehatan G20 KTT Berbagai fasilitas kesehatan disiapkan delegasi g20 bali hotel utama g20 summit diadakan,layan fasilitas sehat   k fasilitas sehat siap delegasi   bal hotel utama   summit ada,positive
detikcom_bali,2023-09-17T12:12:55Z,Summit G20 Sekretaris Promosi Pariwisata Gratis Bali Optimistis Memulihkan G20Indonesia,summit   sekretaris promosi pariwisata gratis bal optimistis pulih  ,positive
DamaiSulbar,2023-09-17T17:33:35Z,Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILILADA NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarinter Sulbarmoderate Polewalimar Majene MamuJu Mamjuuan Mamasa Pasangkaya Topoyo,indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasililada nkrihargamati malaqbi melletediangang manakarra sulbarinter sulbarmoderate polewalimar majene mamuju mamjuuan mamasa pasangkaya topoyo,neutral
tauberitamedia,2023-09-13T14:42:15Z,kepala bmkg dwikorita mengatakan bmkg menyiapkan langkah mitigasi mengantisipasi peristiwa skenario terburuk bencana alam g20 summit bali,kepala bmkg dwikorita bmkg langkah mitigasi antisipasi peristiwa skenario buruk bencana alam   summit bal,negative
Zyanpatra,2023-09-15T23:38:06Z,BMKG memasang gempa bumi gempa bumi menuju lokasi G20 Summit Bali Note,bmkg pasang gempa bumi gempa bumi lokasi   summit bal note,neutral
fathannibos,2023-09-13T15:09:32Z,Kekayaan budaya Indonesia harus sering menyoroti G20 kemudian Summit G20 Bali Sukses Safe G20indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,kaya budaya indonesia sorot   summit   bal sukses safe   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
plat_mirah,2023-09-16T09:22:14Z,Pemerintahan yang Baik Memastikan Hotel Bali Siap Delegasi Selamat Datang G20 Wajah Tersenyum Tangan Terbuka Wajah Tersenyum Tangan Terbuka Monako Monako Monako Bangka Belitung G20indonesia Recovertherrecoverstonger G2022 Groupoftwentyindonesia,perintah hotel bal delegasi selamat   wajah senyum tangan buka wajah senyum tangan buka monako monako monako bangka belitung   recovertherrecoverstonger     groupoftwentyindonesia,positive
verryprimatama1,2023-09-13T03:20:00Z,Hotel Bali Siap SIMPAN SUMMIT G20 G20Indonesia RecoverTogetherRecoversTronger G20Indonesia2022 Groupoftwentyindonesia Java Barat,hotel bal simpan summit     recovertogetherrecoverstronger       groupoftwentyindonesia java barat,positive
DamaiSulbar,2023-09-13T11:22:57Z,Perbedaan Keragaman Kelemahan Kekuatan Indonesia Bali KTT Tawanterorisme Damai Tangkalradicalisme Merdeka Pancasilardi Nkrihargamati Malaqbi Melletediangangan Manakarra Sulbarinfo Sulbarmoderat Polewalimandar Majene,beda ragam lemah kuat indonesia bal k tawanterorisme damai tangkalradicalisme merdeka pancasilardi nkrihargamati malaqbi melletediangangan manakarra sulbarinfo sulbarmoderat polewalimandar majene,positive
fikri_rasyid33,2023-09-19T06:51:22Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 Jambi Summit Dukungan KTT G20 G20Indonesia RecoverTogerRecoversTronger G20Indonesia2022 Groupoftwentyindonesia,perintah hotel bal selamat   jambi summit dukung k     recovertogerrecoverstronger       groupoftwentyindonesia,positive
Marbot_Udien,2023-09-13T11:25:48Z,Informasi Komunikasi Kementerian Mempersiapkan Pusat Media Menampung 1 500 Jurnalis Meliput Konferensi Tingkat Tinggi G20 Summit Bali International Convention Center BICC NUSA Dua Provinsi Bali 15 November 1622,informasi komunikasi menteri pusat media tampung     jurnalis liput konferensi tingkat   summit bal international convention center bicc nusa provinsi bal  november    ,negative
orw7,2023-09-15T09:30:12Z,Game Keamanan Lantai Taktis Hari Ini G20 Bali Presidensi Dipimpin Secara Langsung,game aman lantai taktis   bal presidensi pimpin,negative
_pln_id,2023-09-18T06:04:35Z,Electrizen PLN Memastikan Kesiapan 66 Stasiun Pengisian Kendaraan Umum Mendukung Operasi Kendaraan Listrik Digunakan Puncak G20 Summit Bali Pln SPKlu Electrifiedg20 ELEASHINGINERGYDBEYOND PLNIKINDINDONESIA,electrizen pln kesiap  stasiun isi kendara dukung operasi kendara listrik puncak   summit bal pln spklu   eleashinginergydbeyond plnikindindonesia,positive
KikhmahMerlina,2023-09-13T05:48:05Z,Bali Kompendium Membawa Indonesia G20 Summit November Arsjad Rasjid B20 Arsjadrasjid Kompendiumbali Inklusifcolaborative,bal kompendium bawa indonesia   summit november arsjad rasjid   arsjadrasjid kompendiumbali inklusifcolaborative,neutral
Naraera1,2023-09-14T14:57:32Z,Meninjau Infrastruktur Jalan Pemimpin yang Diprioritaskan G20 Presiden Negara Bagian Tahura Ngurah Rai Bali One Places Seri G20 Acara KTT,tinjau infrastruktur jalan pimpin prioritas   presiden negara tahura ngurah rai bal one places seri   acara k,neutral
Ekspektasi6,2023-09-15T21:00:00Z,Pemerintah Indonesia menyelesaikan Sorotan Persiapan G20 Summit Bali 15 November 1622 Ekonomi.,perintah indonesia selesai sorot siap   summit bal  november     ekonomi,positive
wahananewsdotco,2023-09-17T03:07:38Z,Ready Succeed G20 Summit PLN Strategi Meningkatkan Keandalan Listrik Bali Ptpln Plnpower Kttg20,ready succeed   summit pln strategi tingkat andal listrik bal ptapiln plnpower  ,positive
Johnss___,2023-09-13T01:07:28Z,"Persiapan G20 Summit Bali Lima Area Prioritas Kepolisian Nasional Daei, yaitu 1 Seminyak 2 Jimbaran 3 Nusa Dua Utara 4 Nusa Dua Selatan 5 Sanur Welcomeskttg20 Penjaga Kebijakan Pemerintah Guard",siap   summit bal area prioritas polisi nasional daei  minyak  jimbaran  nusa utara  nusa selatan  sanur   jaga bijak perintah sayard,neutral
Johnss___,2023-09-13T01:01:50Z,Puncak G20 KTT Memulihkan Ekonomi Global Diadakan Nusa Dua Bali Beberapa fasilitas penginapan mengakomodasi 21 00 Delegasi,puncak   k pulih ekonomi global ada nusa bal fasilitas inap akomodasi   delegasi,neutral
antarabiz,2023-09-15T17:03:46Z,Kegiatan Seri G20 Summit Jack Hotel Performance Jakarta Bali,giat seri   summit jack hotel performance jakarta bal,neutral
kihutimes,2023-09-16T22:33:11Z,Kepala Badan Manajemen Bencana Nasional BNPB LT. gen. Suharyanto menghadiri pertemuan tingkat menteri yang membahas Holding G20 Summit Konferensi tingkat tinggi diadakan Badung Bali Selasa 4 10,kepala badan manajemen bencana nasional bnpb lt gen suharyanto hadir temu tingkat menteri bahas holding   summit konferensi tingkat ada badung bal selasa  ,positive
garuda080,2023-09-16T01:36:07Z,DEPAN AWAL G20 Menlu Summit Meeting Retno Mengatakan Indonesia Siap Syarat Logistik Substansi G20 KTT -To -To -Format Format Diadakan Bali Indonesia 15 November 2022 Fokus Kepresidenan Indonesia Post Pandemi Pemulihan Ekonomi Global Global,  menlu summit meeting retno indonesia sayarat logistik substansi   k format format ada bal indonesia  november     fokus presiden indonesia post pandemi pulih ekonomi global global,positive
detikcom_bali,2023-09-15T09:49:15Z,BMKG mengantisipasi besarnya ancaman 8 5 gempa bumi di depan G20 Bali Summit,bmkg antisipasi besar ancam   gempa bumi   bal summit,neutral
baliauthority,2023-09-13T03:57:33Z,Rapat Layanan Navigasi Penerbangan KTT G20 Indonesia 2022 Otoritas Ngurah Rai Wilayah IV Bandara,rapat layan navigasi terbang k   indonesia     otoritas ngurah rai wilayah iv bandara,neutral
IntanAyuArimbi,2023-09-18T11:37:46Z,Terminal VVIP Gusti Ngurah Rai Bandara Siap Menerima tamu G20 Summit Bali,terminal vvip gusti ngurah rai bandara terima tamu   summit bal,positive
KabariGolkar,2023-09-15T23:38:47Z,ViralityNews hadir sore Bali yang mewakili MR. Presiden Joko Widodo Menerima 20 C20 Komunik Masyarakat Sipil,viralitynews hadir sore bal wakil mr presiden joko widodo terima    komunik masayarakat sipil,neutral
Nova8Chika,2023-09-12T22:52:56Z,Mendekati G20 Summit Bali Pemerintah membuat persiapan berbagai sektor optimisasi ekonomi.,dekat   summit bal perintah siap sektor optimisasi ekonomi,neutral
tinqts2,2023-09-17T06:52:48Z,Mendukung Implementasi Keberhasilan G20 Summit Bali Kominfo Mendukung Telekomunikasi Infrastruktur Peningkatan Kecepatan Internet Seluler 4G Memfasilitasi Ekspansi Jaringan 5G,dukung implementasi hasil   summit bal kominfo dukung telekomunikasi infrastruktur tingkat cepat internet seluler tidak fasilitas ekspansi jaring tidak,positive
ketiklagi,2023-09-18T04:45:29Z,Peran Polisi Bali Hubungan Masyarakat Implementasi Informasi Tombak Presisi KTT G20,peran polisi bal hubung masayarakat implementasi informasi tombak presisi k  ,neutral
DamaiSulbar,2023-09-13T02:05:15Z,"Ulama Indonesia Indonesia United Meningkatkan Moderasi Meningkat Islam, Wasathiyah Islam Indonesia Indonesia Bali KTT Tawanterorisme Damai Tangkalradikalisme Merdeka Pancasilardan Negara Bagian Malaqbi",ulama indonesia indonesia united tingkat moderasi tingkat islam wasathiyah islam indonesia indonesia bal k tawanterorisme damai tangkalradikalisme merdeka pancasilardan negara malaqbi,positive
tempodotco,2023-09-14T10:58:45Z,Menteri Koordinasi Luhut Binsar Pandjaitan menugaskan Pemerintah Provinsi Bali mengurangi mobilisasi masyarakat Tempobusnis G20 KTT,menteri koordinasi luhut binsar pandjaitan tugas perintah provinsi bal kurang mobilisasi masayarakat tempobusnis   k,neutral
Ireng_Maulana45,2023-09-16T04:30:45Z,"Pastikan Kesiapan Presiden Host Bali Langsung Meninjau Lokasi G20 Pertemuan Presiden Juga Ingin Memastikan Agenda Rinci Agenda G20 KTT Tutup Pertemuan Internasional, yaitu ASEAN Summit APEC",pasti kesiap presiden host bal tinjau lokasi   temu presiden agenda rinci agenda   k tutup temu internasional asean summit apec,positive
Zyanpatra,2023-09-18T12:00:50Z,Perintah Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal yang melibatkan G20 Summit,perintah luhut pandjaitan bal undang kemudi lokal libat   summit,negative
DamaiSulbar,2023-09-13T11:41:04Z,Polisi Regional Bali Bersama Agen -agen Lembaga terus mencoba SUCECED ACARA 20 Indonesia Bali Summit G20 DAMAI LAWANTERORISME TANGKALRADIKALISM,polisi regional bal agen agen lembaga coba suceced acara  indonesia bal summit   damai lawanterorisme tangkalradikalism,neutral
Johnss___,2023-09-13T08:59:30Z,Mobil Listrik Keamanan Penyelesaian Akomodasi20 Korlantas Polri Mempersiapkan 88 Unit Mobil Listrik 94 Unit Motor Listrik Aman Pengawas KTT G20 15 November 1622 Bali Meningkatkan Ekonomi Negara,mobil listrik aman selesai   korlantas polri  unit mobil listrik  unit motor listrik aman awas k    november     bal tingkat ekonomi negara,positive
aksesdisini_com,2023-09-19T14:15:26Z,Luhut bertanya pada Bali Terapkan Sekolah WFH Online G20 Summit,luhut bal terap sekolah wfh online   summit,neutral
faktualid_com,2023-09-13T00:19:30Z,Sandiaga Uno Persiapan Bali Welcome 50 00 Delegasi Guil G20 G20 Hampir mencapai titik kulminasi Sandiagauno G20Indonesia,sandiaga uno siap bal welcome   delegasi guil     capai titik kulminasi sandiagauno  ,positive
wahananewsdotco,2023-09-13T10:05:07Z,"bmkg memasang gempa bumi gempa bumi menuju puncak G20, lokasi Bali kttg20",bmkg pasang gempa bumi gempa bumi puncak   lokasi bal  ,neutral
newsmerahputih,2023-09-16T06:37:07Z,Menteri Luhut Binsar Pandjaitan mengatakan persiapan g20 summit bali menjadi lebih baik sempurna merah -putih kttg20 luhut telekomunikasi bali,menteri luhut binsar pandjaitan siap   summit bal sempurna merah putih   luhut telekomunikasi bal,positive
KamidiaD,2023-09-13T01:57:12Z,Pemerintah Indonesia terus menyelesaikan Sorotan Persiapan G20 KTT Konferensi Tingkat Tinggi yang dijadwalkan berlangsung Bali 15 November 1622 Ekonomi.,perintah indonesia selesai sorot siap   k konferensi tingkat jadwal bal  november     ekonomi,positive
tauberitamedia,2023-09-13T04:43:18Z,Presiden Joko Widodo Jokowi Dipimpin Kabinet Finalisasi Persiapan G20 KTT Konferensi Tingkat Tinggi Bali,presiden joko widodo jokowi pimpin kabinet final siap   k konferensi tingkat bal,positive
Nov1R007,2023-09-15T20:20:23Z,"Selain itu, pertemuan juga membahas kesiapan Bali detail sumur sesi waktu g20 puncak menurut Airlangg Indonesia berharap hasil keseluruhan diskusi g20 pemimpin dapat sederhana meringkas 34 paragraf",temu bahas kesiap bal detail sumur sesi   puncak airlangg indonesia harap hasil diskusi   pimpin sederhana ringkas  paragraf,neutral
retnosetyow4t,2023-09-17T11:32:16Z,Presiden Jokowi Kembali Pertemuan Finalisasi Persiapan G20 KTT Diadakan Puncak Pertemuan G20 Bali November 2022 Menjadi Lebih Dekat,presiden jokowi temu final siap   k ada puncak temu   bal november    ,neutral
DiskominfoPWK,2023-09-13T09:19:08Z,Sampurasun Sobatnet Dukungan Khusus Keberhasilan G20 Indonesia Presidensi Presiden Menyediakan Layanan Kesehatan G20 Summit Bali 15 November 1622 Berbagai fasilitas kesehatan disiapkan,sampurasun sobatnet dukung hasil   indonesia presidensi presiden sedia layan sehat   summit bal  november     fasilitas sehat siap,positive
BJKT4Terpercaya,2023-09-17T17:28:32Z,Teman Bumn Green Energy Station GES Siap Delegasi G20 Summit Bali November 2022 Energizingyou Gespertamindukungung20 Energi Pertaminapimimpintransisi,teman bumn green energy station ges delegasi   summit bal november     energizingyou   energi pertaminapimimpintransisi,neutral
ekonomimaju,2023-09-16T10:30:56Z,Koordinasi Menteri Ekonomi Menjelaskan Pemegang Indonesia G20 Presiden Lanjutan Monitor Perkembangan Global Termasuk Situasi Geopolitik Depan Implementasi G20 Konferensi tingkat tinggi diadakan Bali November mendatang,koordinasi menteri ekonomi pegang indonesia   presiden lanjut monitor kembang global situasi geopolitik implementasi   konferensi tingkat ada bal november,positive
Tertulis,2023-09-15T03:19:11Z,Astra Honda Motor Kirim 20 PCX Electric G20 Bali Summit,astra honda motor kirim  pcx electric   bal summit,neutral
bumn_sby_santun,2023-09-19T00:37:43Z,Bumn Bumn Green Energy Station GES Siap melayani G20 Summit Delegasi Bali November 2022 Membutuhkan G20 Aktivitas Kendaraan Sebagian besar menggunakan kendaraan energi yang ramah energi.,bumn bumn green energy station ges layan   summit delegasi bal november     butuh   aktivitas kendara kendara energi ramah energi,positive
pupr_ciptakarya,2023-09-18T03:56:34Z,Direktur Jenderal Cipta Karya PUPR Diana Kusumastuti Mengunjungi Kunjungan Kerja Menyertai Direktur BPB Boby Ali Azhari PKP Direktur Johannes Wahyu Kusumosusanto Bppw Bali Kepala Nyoman Sutresna Meninjau Satu Infrastruktur Pendukung G20 Summit Terletak Tuban Kuta Bali,direktur jenderal cipta karya pupr ana kusumastuti unjung kunjung serta direktur bpb boby ali azhari pkp direktur johannes wahyu kusumosusanto bppw bal kepala nyoman sutresna tinjau infrastruktur dukung   summit letak tuban kuta bal,positive
Karolina_bee11,2023-09-13T03:23:25Z,Presiden Jokowi memimpin rapat kerja menyelesaikan persiapan G20 Summit Presiden juga secara langsung meninjau pertemuan lokasi Bali,presiden jokowi pimpin rapat selesai siap   summit presiden tinjau temu lokasi bal,positive
DamaiSulbar,2023-09-14T16:35:21Z,Memutuskan Regenerasi Teroris Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILARDI NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarintifo Sulbarmoderate Polewalim Majene MamuJu MamuJuan Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa,putus regenerasi teroris indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasilardi nkrihargamati malaqbi melletediangang manakarra sulbarintifo sulbarmoderate polewalim majene mamuju mamujuan mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa,neutral
Cak_X01,2023-09-18T09:19:32Z,Memegang Pertemuan Puncak G20 Negara Bali November 2022 Presiden Lebih Dekat Kabinet Pemimpin Kabinet Menyelesaikan Berbagai Persiapan G20 KTT Merdeka Palace Senin 3 Oktober 2022,pegang temu puncak   negara bal november     presiden kabinet pimpin kabinet selesai siap   k merdeka palace senin  oktober    ,neutral
jpnncom,2023-09-13T01:54:04Z,Ketua Indonesia MPR Bambang Soesatyo Bamsoet Mengatakan Kendaraan Listrik Menyelesaikan Implementasi G20 KTT Diberikan Pemerintah Provinsi Bali MPRRI,ketua indonesia mpr bambang soesatyo bamsoet kendara listrik selesai implementasi   k perintah provinsi bal mprri,neutral
kumparan,2023-09-12T23:36:35Z,Memegang Latihan Kontrol Darurat PKD Gusti Ngurah Rai Bali Bandara unggul G20 November,pegang latih kontrol darurat pkd gusti ngurah rai bal bandara unggul   november,neutral
M3juahjuah,2023-09-12T23:31:34Z,"Pastikan Presiden Host Kesiapan Bali Joko Widodo Langsung Meninjau Lokasi G20 Pertemuan Presiden Juga Ingin Pastikan Agenda Rinci Agenda KTT Agenda Tutup Pertemuan Internasional, yaitu ASEAN Summit APEC",pasti presiden host kesiap bal joko widodo tinjau lokasi   temu presiden pasti agenda rinci agenda k agenda tutup temu internasional asean summit apec,positive
DS_yantie,2023-09-16T06:54:59Z,Berhasil Puncak Acara G20 Summit Menkominfo Kominfo Meningkatkan Kualitas Jaringan Telekomunikasi Pemerintah Mempersiapkan Implementasi G20 Konferensi Tingkat Tinggi berlangsung Bali 15 November 2022,hasil puncak acara   summit menkominfo kominfo tingkat kualitas jaring telekomunikasi perintah implementasi   konferensi tingkat bal  november    ,positive
KapitanMerah,2023-09-13T17:44:46Z,Pemerintah Pemerintah Memastikan Hotel Bali Siap Summit Summit G20 G20indonesia Recovertogetherrecoverstronar G20Indonesia2022 Groupoftwentyindonesia Maluku Kalesang,perintah perintah hotel bal summit summit     recovertogetherrecoverstronar       groupoftwentyindonesia malu kalesang,positive
sherlynlyn_,2023-09-19T12:23:06Z,Pastiny Aways Turis Kunjungi Indonesia Kemudian G20 Summit Bali Sukses Safe G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,pastiny aways turis kunjung indonesia   summit bal sukses safe   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
jpnncom,2023-09-16T04:34:56Z,Menteri Koordinasi Pesanan Marves Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal memanfaatkan G20 Luhutpandjaitan Summit,menteri koordinasi pesan marves luhut pandjaitan bal undang kemudi lokal manfaat   luhutapiandjaitan summit,negative
IniMenit,2023-09-18T12:24:23Z,Implementasi Depan G20 KTT Konferensi Tingkat Tinggi Kementerian Pertanian Pertanian Pertanian Memperkuat Rabies Control Provinsi Bali yang Melakukan Gerakan Vaksinasi Massal,implementasi   k konferensi tingkat menteri tani tani tani kuat rabies control provinsi bal gera vaksinasi massal,positive
LisaWri39975245,2023-09-15T15:58:17Z,"Fasilitas Layanan Kesehatan G20 Summit Ready Main Hotel Apurva Kempinski Bali G20Indonesia RecoverTogerCoverstronger G20Indonesia2022 Groupoftwentyindonesia, Jawa Tengah",fasilitas layan sehat   summit ready main hotel apurva kempinski bal   recovertogercoverstronger       groupoftwentyindonesia jawa,positive
GaekMinang,2023-09-13T05:00:58Z,TNI Mobilisasi 12 Kapal Kapal Kapal Kapal G20 Bali West Sumatra Society Bangga Indonesia Penyelenggara G20 G20 G20indonesia RecoverTogerCoverstronger G20Indonesia2022 Groupoftwentyindonesia,tni mobilisasi  kapal kapal kapal kapal   bal west sumatra society bangga indonesia selenggara       recovertogercoverstronger       groupoftwentyindonesia,positive
DamaiSulbar,2023-09-13T10:20:05Z,Upaya Mencegah Raadikalisme Kurikulum Sekolah Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILARDI NKRIHARGAMATI MALAQBI MELLETEDEANGANAN MANARARRA SULBARINFO SULBARMODERAT POLEWALIM MAJENE MAJENE MAMUJUAN,upaya cegah raadikalisme kurikulum sekolah indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasilardi nkrihargamati malaqbi melletedeanganan manararra sulbarinfo sulbarmoderat polewalim majene majene mamujuan,neutral
DS_yantie,2023-09-13T00:20:24Z,1 337 Jurnalis 215 Media Asing Lokal Liputan Terdaftar G20 KTT Konferensi Tingkat Tinggi Bali Provinsi 15 November 2022 G20 Situs Web,    jurnalis    media asing lokal liput daftar   k konferensi tingkat bal provinsi  november       situs web,positive
humas_selbar,2023-09-17T15:42:11Z,Peran Bali Polisi Regional Hubungan Masyarakat Implementasi Informasi Tombak G20 Summit Precision Public Relations Bagian Organisasi Fungsi Membangun Kerjasama Komunikasi Partai Terkait Publik Cetak Media Online,peran bal polisi regional hubung masayarakat implementasi informasi tombak   summit precision public relations oranganisasi fungsi bangun kerjasama komunikasi partai kait publik cetak media online,neutral
IDNdihatiku,2023-09-13T04:07:05Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 KTT Awal Hotel Hotel Tersebar Nusa Dua Beberapa daerah juga siap menyambut G20 Summit siap berhasil Jepang mandala Krida G20 Pintu KTT 13 Jokowipresidenku JokowihiBat,perintah hotel bal selamat   k hotel hotel sebar nusa daerah sambut   summit hasil jepang mandala krida   pintu k  jokowipresidenku jokowihibat,positive
DamaiSulbar,2023-09-13T04:34:26Z,"Kesiapan Selamat Datang KTT 20 Bali 15 November 1622 Track Track Hope Membawa Sukses Tuhan Bersedia, Acara KTT Bali Indonesia, Peace Lawanterrorism Merdeka Pancasadikalism.",kesiap selamat k  bal  november     track track hope bawa sukses tuhan sedia acara k bal indonesia peace lawanterrorism merdeka pancasadikalism,positive
Hadimakpul,2023-09-18T05:19:55Z,"Presiden Ulasan Konstruksi Infrastruktur Jalan Nusa Dua Area Badung Regency, Provinsi Bali Lulus Para Pemimpin Dunia menghadiri KTT G20 November",presiden ulas konstruksi infrastruktur jalan nusa area badung regency provinsi bal lulus pimpin dunia hadir k   november,neutral
astarte2017,2023-09-13T18:02:08Z,Pastikan Kesiapan Bali Presiden Presiden Joko Widodo Langsung Mengamati Lokasi G20 Pertemuan Presiden Juga Ingin Memastikan Pertemuan Agenda Terperinci G20 KTT Tutup KTT ASEAN APEC Indonesiamju Jokowi,pasti kesiap bal presiden presiden joko widodo amat lokasi   temu presiden temu agenda perinci   k tutup k asean apec indonesiamju jokowi,positive
SonoraFM92,2023-09-15T09:28:45Z,09 50 Beritasonora Civil 20 C20 Berhasil Memberikan Dokumen Paket Kebijakan C20 yang Berisi Rekomendasi Kebijakan Seri Berbagai Masalah G20 Pembukaan Hari C20 KTT Hilton Resorts Hotel Nusa Dua Bali,  beritasonora civil    hasil dokumen paket bijak   isi rekomendasi bijak seri   buka   k hilton resorts hotel nusa bal,neutral
