nomor,label,nama_akun,komentar,komentar_preprocessing
108,positive,Ahok-Djarot,"Unik, Karangan bunga untuk Gubernur DKI Jakarta, Badja Viral di Medsos, ini salah satunya ... #POLEMIKPaluHakim #DKIJakarta #AhokDjarot",unik karang bunga gubernur dki jakarta badja viral medsos salah satu polemikpaluhakim dkijakarta ahokdjarot
109,negative,Agus-Sylvi,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy",anggap bulan jual pindah tangan orang elit partai gerindra pks pilkadadki ahy
110,negative,Anies-Sandi,"Heran baca berita @liputan6dotcom berita #AniesSandi negatif terus, pantes portal beritanya sepi melempem. Payah!",heran baca berita berita aniessandi negatif pantes portal berita sepi melempem payah
111,negative,Anies-Sandi,Prabowo Subianto sebut Amin Rais sebagai Ayatollah Indonesia & Aburizal Bakrie sebagai mentor & arsitek pemenangan #AniesSandi #PilkadaDKI,prabowo subianto amin rais ayatollah indonesia aburizal bakrie mentor arsitek menang aniessandi pilkadadki
112,positive,Agus-Sylvi,Aku dari dulu Agus Harimurti Yudhoyono Lovers #AHYLovers Dari dulu Annisa Larasati Pohan Lovers  #ALPLovers Bukan mendadak #AHY,agus harimurti yudhoyono lovers ahylovers annisa larasati pohan lovers alplovers dadak ahy
113,negative,Agus-Sylvi,"Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI",kasihan ahy kalah umroh bantu doa juta umat netral politik pilkadadki
114,negative,Anies-Sandi,"DP 0% angsuran 30th itu program yang siap sengsarain cagub 5 periode berikutnya #aniessandy kabur, gubenur baru babak belur",dp angsur program sengsarain cagub periode aniessandy kabur gubenur babak bur
115,negative,Agus-Sylvi,"menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>",temu foto lingkar orang ahy penuh integritas kwalitas negatif waspada waspada
116,negative,Ahok-Djarot,Lihat raut wajah bpk Djarot bikin miris. Sabar & kuatkan @AhokDjarot @basuki_btp #IndonesiaBerkabung #AhokDjarot,raut wajah bpk djarot bikin miris sabar kuat ahokdjarot basukibtp indonesiaberkabung ahokdjarot
117,negative,Anies-Sandi,kasian.. masjid dijadikan alat tempat balas dendam.. takbir dilontarkan untuk memuaskan kebencian.. benar2 PARAH pendukung #AniesSandi,kasi masjid jadi alat balas dendam takbir lontar muas benci benar parah dukung aniessandi
118,positive,Ahok-Djarot,"Ahok-Djarot kalah dalam pilkada, tapi menang dalam menjaga integritas berdemokrasi Pancasila. Bangga! <SMILING FACE WITH HEART-EYES> #JakartaGubernurBaru #PilkadaDKI",ahok djarot kalah pilkada menang jaga integritas demokrasi pancasila bangga jakartagubernurbaru pilkadadki
119,negative,Agus-Sylvi,"heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	",heeebohhhh agus sylvi kalah tps tmpat agusyudhoyono hak pilih pilkadadki quickcount ahy
120,positive,Ahok-Djarot,Dukungan Doa dan Pemasangan sejuta Lilin untuk AHOK dari Manado Untuk Indonesia. #SaveAhok #AhokDjarot #RIPJusticeInIndonesia,dukung doa pasang juta lilin ahok manado indonesia saveahok ahokdjarot ripjusticeinindonesia
121,negative,Anies-Sandi,"yang penting janji2 rmh dp 0% n bantuan modal cepat cairkan. Kalo bohong, asset2 #AniesSandi hrs dijual untuk rakyat sesuai komitmen",janji rmh dp bantu modal cepat cair bohong asset aniessandi hrs jual rakyat sesuai komitmen
122,negative,Agus-Sylvi,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,terima kasih keistiqomahan rawan ahy agusyudhoyono tlh antar aniessandidki jakartagubernurbaru dg signifikan
123,negative,Ahok-Djarot,saya sarankan @fadlizon di DPR bikin PANSUS KARANGAN BUNGA atau undang LSM untuk bentuk TIM PENCARI FAKTA KARANGAN BUNGA dari pada jadi gila,saran fadlizon dpr bikin pansus karang bunga undang lsm bentuk tim cari fakta karang bunga gila
124,negative,Agus-Sylvi,#AHY #SBY #Jakarta #Jatim #Jabar #Presiden #NgopiSore Mau ke Mana AHY Setelah Nyungsep di Jakarta? @tribunmedan,ahy sby jakarta jatim jabar presiden ngopisore ahy nyungsep jakarta tribunmedan
125,negative,Ahok-Djarot,"Timses anies ngomongnya sok kayak motivator, udah ahok terbaik kok jadi gubernur. Liat hasil kerjanya aja deh #AhokDjarot",timses anies ngomong sok kayak motivator sudah ahok baik gubernur liat hasil kerja aja deh ahokdjarot
126,positive,Anies-Sandi,"Terima kasih kepada warga Jakarta yang telah memilih #AniesSandi khususnya warga Kebayoran Baru, kita kawal amanah ummat ini #SalamBersama",terima kasih warga jakarta pilih aniessandi warga kebayoran kawal amanah ummat salambersama
127,negative,Anies-Sandi,Akun @CangHaris akun provokator & bukan bagian dari timses #AniesSandi. Timeline @CangHaris lebih mencirikan akun Ahokers. Waspadalah!,akun cangharis akun provokator timses aniessandi timeline cangharis ciri akun ahokers waspada
128,positive,Anies-Sandi,"2. Semoga @aniesbaswedan @JktMajuBersama @sandiuno melebur semua relawan menjadi RELAWAN JAKARTA yang bersatu!#AniesSandi, #menyatukan",moga aniesbaswedan jktmajubersama sandiuno lebur rawan rawan jakarta satu aniessandi satu
129,negative,Agus-Sylvi,"1.Kenape kagak dilawan ama pasangan #AHY-#DickyChandra buat Pilgub Jabar ??? Cuma Demokrat emang hrs tegas dulu buat Pilgub DKI, <Thinking Face> <Thinking Face> <Thinking Face>",kenape kagak lawan ama pasang ahy dickychandra pilgub jabar demokrat emang hrs pilgub dki
130,positive,Ahok-Djarot,Marilah Kemari (@ahokdjarot  <Victory Hand> <Victory Hand>  disini) cover by Citra & Alain #ahokdjarot #basukidjarot @temanAhok @AhokShow,mari kemari ahokdjarot cover by citra alain ahokdjarot basukidjarot temanahok ahokshow
131,positive,Agus-Sylvi,"Salam ""Wallahulmuwafiq IlaAqwamithoriq @sandiuno mencerminkan beliau NU sejak itu saya jatuh hati meski waktu itu saya #AHY @AgusYudhoyono",wallahulmuwafiq ilaaqwamithoriq sandiuno cermin beliau nu jatuh hati waktu ahy agusyudhoyono
132,negative,Agus-Sylvi,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,gelintir dukung ahy tikung tweet akun resmi parpol dukung anies sandi pilkada
133,negative,Anies-Sandi,"cek kaos para pendukung Anies-Sandi,kaos2 provokatif yang dipakai saat pilkada DKI dipakai dalam syukuran, dan mereka bicara rekonsiliasi",cek kaos dukung anies sandi kaos provokatif pakai pilkada dki pakai syukur bicara rekonsiliasi
134,negative,Agus-Sylvi,"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",ahy pakdhe karwo pilgub jatim dhe karwo isyarat agus maju pilgub jatim
135,negative,Anies-Sandi,Jenazah ditolak.  Abis solat diusir. Yang dagang di usir. Agama jadi jualannya politik. Mantavvv jiwa Cara lu..  #pilkadadki2017 #pilkada,jenazah tolak abis solat usir dagang usir agama jual politik mantavvv jiwa lu pilkada
136,negative,Ahok-Djarot,"saran aja pak, biarkan kalo masih ada aja yang ngiri, bapak nganan aja Takut bikin macet kalo bapak ikutan ngiri #AhokDjarot",saran aja biar aja ngiri nganan aja takut bikin macet ikut ngiri ahokdjarot
137,negative,Ahok-Djarot,"#pilkadadki2017 masa tenang aja masih ada yang curang, apalagi pemilihan yaa hati2 aja, awasin tuh yang kemarin ketahuan bagi2 sembako",tenang aja curang pilih yaa hati aja awasin kemarin tahu bagi sembako
138,positive,Agus-Sylvi,#Djarot Apresiasi #AHY Relakan Relawannya Dukung #Ahok <Clapping Hands> <Clapping Hands> http://merahputih.com #merahputih #Indonesia #Jakarta #PilgubDKI #2017,djarot apresiasi ahy rela rawan dukung ahok merahputih indonesia jakarta pilgubdki
139,positive,Anies-Sandi,"#pilkadadki2017 jika ahok djarot menang, mereka tinggal melanjutkan tugas mereka, dan jika anis sandi menang, mudah-mudahan bisa lebih baik.",ahok djarot menang tinggal lanjut tugas anis sandi menang mudah mudah
140,positive,Anies-Sandi,Kerinduan ini mencapai klimaksnya akan sosok gubernur Jakarta yang cinta Persija (Insha Allah) Chant #AniesSandi pun bergema di stadion,rindu capai klimaks sosok gubernur jakarta cinta persija insha chant aniessandi gema stadion
141,positive,Agus-Sylvi,Jangan kira skenario AHY cuma untuk menang Pilgub saja? AHY sudah pikirkan matang skenario jika kalah. Kalah pun dia menang sejatinya. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,skenario ahy menang pilgub ahy pikir matang skenario kalah kalah menang sejati
142,negative,Agus-Sylvi,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",mana ahy sang ksatria samurai prajurit bangun semangat harap pahlawan nanti nanti rakyat
143,negative,Agus-Sylvi,"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",tuduh ahy kerap lontar anak ingus mayor dengar dudah ubah sanjung
144,positive,Agus-Sylvi,"@AgusYudhoyono Semangat terus Pak AHY, faktor kekalahan pada pilkada waktu kemarin itu adalah wakil Pak AHY, nanti maju lagi, insyaAlloh.",agusyudhoyono semangat ahy faktor kalah pilkada waktu kemarin wakil ahy maju insyaalloh
145,negative,Anies-Sandi,Mbak Ira kusno bajunya tidak pas kurang cerah sedikit..apa Gara2 blush on nya ya #okeoce jadi tegang itu yang lagi debat  <Smiling Face With Open Mouth & Cold Sweat>  #kurangpenting,mbak ira kusno baju pas cerah gara blush on okeoce tegang debat kurangpenting
146,negative,Ahok-Djarot,#AhokDjarot mencari orang pintar buanyak di Jakarta. Mencari orang yang jujur anti korupsi suka bekerja keras...itu yang sulit.,ahokdjarot cari pintar buanyak jakarta cari jujur anti korupsi suka keras sulit
147,negative,Agus-Sylvi,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",agus singkir ahok anies rebut suara ahy penting kelompok youtube ahok anies ahy pilgub
148,positive,Ahok-Djarot,<lovered> Nama yang Indah <lovered> Nama masjid baru pemkot Jakarta MASJID RAYA KH HASYIM ASHARI. @nu_online @NahdlatulOelama #AhokDjarot,nama indah nama masjid pemkot jakarta masjid raya kh hasyim ashari nuonline nahdlatuloelama ahokdjarot
149,positive,Agus-Sylvi,"youtu.be/bxrZD69u61A  tenang, bening, ..dan tulus. Mas Agus, mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy",youtu be tenang bening tulus mas agus yaa mas apreciate agussilvy
150,positive,Anies-Sandi,"Alhamdulillah, #PilkadaDKI2017 keren, mancarli: aman lancar terkendali Tks Jakarta, sdh berikan hal menarik. Selamat u Gub-Wagub terpilih.",alhamdulillah keren mancarli aman lancar kendali tks jakarta sudah tarik selamat gub wagub pilih
151,negative,Ahok-Djarot,@aniesbaswedan omonganmu tidak cocok dengan fakta <Thumbs Down> <Thumbs Down>@MataNajwa @Metro_TV #pilkadaDKI #voteahok #badja  @nu_online #ahokdjarot #DKI,aniesbaswedan omong cocok fakta matanajwa metrotv pilkadadki voteahok badja nuonline ahokdjarot dki
152,negative,Anies-Sandi,Fitnah nih Menteri Pendidikan punya binimuda? Duh KW aspal semua @SangPemburu99 @aniesbaswedan @selenakoe Anies sibuk urus istri muda,fitnah menteri didik binimuda duh kw aspal aniesbaswedan selenakoe anies sibuk urus istri muda
153,positive,Anies-Sandi,Kemenangan #AniesSandi kemenangan warga Jakarta! Umat Islam masih harus terus berjuang menuntut keadilan hukum terhadap #AhokPenistaAgama,menang aniessandi menang warga jakarta umat islam juang tuntut adil hukum ahokpenistaagama
154,positive,Agus-Sylvi,"Saya bilang PASTI MENANG karena bentuk keyakinan akan keberhasilan goal goal LAIN dari IMPROVISASI politik Pak SBY & Pak AHY,di Pilkada DKI.",bilang menang bentuk yakin hasil goal goal improvisasi politik sby ahy pilkada dki
155,negative,Agus-Sylvi,"Suara #AHY rusak gara-gara nyanyian si AA PeKa ini, moga SBY bisa bikin dia jeblos penjara sampai pupus disana !!! #GueGeram  <Face With Steam From Nose>",suara ahy rusak gara gara nyanyi si aa peka moga sby bikin jeblos penjara pupus sana guegeram
156,negative,Ahok-Djarot,"Mungkin seperti ini ya rasanya dipaksa putus,lantas dikawin paksa sama bandot bini 5.susah move on-nyah. #pilkadajakarta #AhokDjarot",paksa putus lantas kawin paksa bandot bini susah move on nyah pilkadajakarta ahokdjarot
157,negative,Agus-Sylvi,ya pastilah #FPI kan tidak suka sama Ahok jadi pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi <Grimacing Face>,fpi suka ahok pas ahy sudah kalah otomatis dukung lari mas anisa aniessandi
158,positive,Anies-Sandi,"Salam, Saudaraku. Berdasarkan exitpoll Litbang Kompas, mayoritas pemilih PAN memilih pasangan Anies-Sandi. #AniesSandi #AmanatNasional",saudara dasar exitpoll litbang kompas mayoritas pilih pan pilih pasang anies sandi aniessandi amanatnasional
159,negative,Anies-Sandi,Dua Program Ahok yang akan Dibatalkan Anies Anies-Sandi Ahok Djarot #GubernurJakarta #AniesSandi #Ahok,program ahok batal anies anies sandi ahok djarot gubernurjakarta aniessandi ahok
160,negative,Anies-Sandi,"Paslon 3 #aniessandy curang kampanye masuk keluar masuk masjid, musolah masa seperti itu kampanye politik pilkada,tiap pengajian bagi2 duit",paslon aniessandy curang kampanye masjid musolah kampanye politik pilkada aji bagi duit
161,negative,Anies-Sandi,"Bismillah beli rumah DP 0%, awas aja program ga jadi jalan #GubernurBaru #aniessandi",bismillah beli rumah dp awas aja program tidak jalan gubernurbaru aniessandi
162,positive,Anies-Sandi,"KPU Sudah Umumkan Hasil Pilkada DKI, Anies-Sandi Tetap Menang, Karangan Bunga Gak Ngaruh <Cat Face With Tears of Joy> https://goo.gl/fb/ASihdv",kpu umum hasil pilkada dki anies sandi menang karang bunga gak ngaruh
163,negative,Anies-Sandi,#Paslon3  Anies-Sandi kl kalah #pilkadaDKI pindah nyalon ke Kab. Bogor kyknya cocok nih. Bogor butuh Entrepreneurship and education,paslon anies sandi kalah pilkadadki pindah nyalon kab bogor kyk cocok bogor butuh entrepreneurship and education
164,positive,Anies-Sandi,Tugas berat menanti mas @aniesbaswedan dan bang @sandiuno . Semoga amanah mewujudkan janji dan keinginan warga Jakarta. #PilkadaDKI2017,tugas berat mas aniesbaswedan bang sandiuno moga amanah wujud janji warga jakarta
165,negative,Anies-Sandi,"Sabtu kerja&ngobrol tentang #pilkadaDKI,ternyata ketua RW di komplek rumah teman saya super maksa warga pilih Anies demi janji 3 Milyar",sabtu ngobrol pilkadadki ketua rw komplek rumah teman super maksa warga pilih anies janji milyar
166,positive,Agus-Sylvi,"Menurut AHY, Pilkada DKI memberi hikmah, pelajaran, ujian dan tantangan yang dapat ia ambil. Semua itu dapat mematangkan karakternya#AIMAN",ahy pilkada dki hikmah ajar uji tantang ambil matang karakter aiman
167,negative,Agus-Sylvi,Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>,senjata makan tuan aka karma beritasatu populerb kicau negatif sby yakin pengaruh elektabilitas ahy
168,positive,Agus-Sylvi,@AgusYudhoyono tetep semangat mendharma baktikan jiwa dan raga untuk negeri ini  <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>  #ahy #wpap #art,agusyudhoyono tetep semangat mendharma bakti jiwa raga negeri ahy wpap art
169,negative,Agus-Sylvi,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",ahy pakar mantan sby surat anas urbaningrum jeruji besi sindir mantan
170,positive,Agus-Sylvi,Dari pada pendukung Ahok berantem terus. Mending kaya pendukung AHY membuat kopdar biar makin luas siapa tau jadi calon lagi,dukung ahok antem mending kaya dukung ahy kopdar biar luas tau calon
171,negative,Anies-Sandi,"Jadi kalo kalah, pasti badja berbuat curang? Picik <Grimacing Face>  Prabowo Sebut Anies-Sandi Akan Menang Pilkada DKI jika Tidak Dicurangi",kalah badja buat curang picik prabowo anies sandi menang pilkada dki curang
172,positive,Ahok-Djarot,KALAH PILKADA DKI AHOK DJAROT DAPAT KARANGAN BUNGA SIMPATI KARENA TERUJI DAN TERUKUR <Victory Hand> <Victory Hand> ANIES SANDI MENANG DAPAT BUNGA DP 0%,kalah pilkada dki ahok djarot karang bunga simpati uji ukur anies sandi menang bunga dp
173,positive,Anies-Sandi,"Jeda Iklan, Sandiaga Turun dari Panggung Debat lalu Peluk Erat Nelayan : Bang @sandiuno #OkeOce #salambersama",jeda iklan sandiaga turun panggung debat peluk erat nelayan bang sandiuno okeoce salambersama
174,negative,Anies-Sandi,Kasus #AhokPenistaAgama bukan urusan timses #AniesSandi tapi urusan umat Islam sedunia & aparat penegak hukum Indonesia. #PenjarakanAhok!,ahokpenistaagama urus timses aniessandi urus umat islam dunia aparat tegak hukum indonesia penjarakanahok
175,negative,Anies-Sandi,"BIADAB !!! Kelakuan Kelompok Pendukung #AniesSandi Melebihi ""PENJAJAH"" & Terbukti Melampaui Kemampuan IBLIS #GueCintaNKRI #MasjidUntukSemua",biadab laku kelompok dukung aniessandi lebih jajah bukti lampau mampu iblis guecintankri masjiduntuksemua
176,negative,Ahok-Djarot,Lulung nyampah jadi timses anies sandi gara gara takut kena semprot ahok <FACE WITH TEARS OF JOY> #AhokDjarot <FACE WITH STUCK-OUT TOUNGES>,lulung nyampah timses anies sandi gara gara takut semprot ahok ahokdjarot
177,negative,Agus-Sylvi,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki,gagal pilkada dki jakarta ahy isu maju pilgub jatim headlines politikbirokrasi pilkadadki
178,positive,Ahok-Djarot,"#ahok #saveahok #ahokdjarot #pilgubjkt Anies Unggul di Pemilih Muslim, Ahok Kaum Pendidikan Tinggi TotorQQ: http://www.infototorqq.com",ahok saveahok ahokdjarot pilgubjkt anies unggul pilih muslim ahok kaum didik tinggi totorqq
179,positive,Anies-Sandi,Wakil Timses Anies-Sandi Pantau Pencoblosan Ulang di TPS 1 Gambir #WakilTimses #AniesSandi #Pantau #TPS01Gambir https://www.harianbernas.com,wakil timses anies sandi pantau coblos ulang tps gambir wakiltimses aniessandi pantau
180,negative,Agus-Sylvi,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,gak nunggu hasil qc tapi nunggu motif cuit sbyudhoyono kayak pasca agussilvy nyungsep
181,negative,Agus-Sylvi,"Versi #3 video #AHYANGaruk2Kepala terlihat bingung bicara banjir, kota apung  <Face With Stuck-Out Tongue & Closed Eyes>  di atas, permukaan tanah dan air, bikin bengong <Smiling Face With Open Mouth & Closed Eyes>",versi video bingung bicara banjir kota apung muka tanah air bikin bengong
182,positive,Ahok-Djarot,Karangan bunga untuk ahok Dari kota kecil yang indah.... #Ajibarang #Basuki_btp #Jakarta #Ahok #AhokDjarot #DKIJakarta,karang bunga ahok kota indah ajibarang basukibtp jakarta ahok ahokdjarot dkijakarta
183,negative,Ahok-Djarot,"Mentang mentang nama belakangnya sama, mau ambil keuntungan saja. Yang Novel iya yang Anies gak #AhokDjarot #pilgubDKI",mentang mentang nama belakang ambil untung novel iya anies gak ahokdjarot pilgubdki
184,positive,Ahok-Djarot,"@basuki_btp dan djarot semangat & sehat2 terus. Semoga diakhir masa jabatan ini, masyarakat DKI sadar akan pemimpin sebenarnya. #ahokdjarot",basukibtp djarot semangat sehat moga akhir jabat masyarakat dki sadar pimpin ahokdjarot
185,negative,Ahok-Djarot,"Bukti #AhokDjarot ..begtiu dicintai warganya,,Namun kalah terhornat karna Kelicikan yang menjijikan dari Lawanya..",bukti ahokdjarot begtiu cinta warga kalah terhornat karena kelici jijik lawa
186,negative,Ahok-Djarot,#ahokdjarot #kpudkijakarta #sumarmo Saksi Ahok-Djarot Tolak Tandatangani Rekapitulasi Suara Pilkada http://dlvr.it/P1dBNY,ahokdjarot kpudkijakarta sumarmo saksi ahok djarot tolak tandatangani rekapitulasi suara pilkada
187,negative,Ahok-Djarot,#pilkadadki2017 pilkada dki 2017 itu sangat rasis dan agamis. Buktinya ras china pilih ahok 100% dan pemeluk kristen pilih ahok 100%,pilkada dki ras agam bukti ras china pilih ahok peluk kristen pilih ahok
188,positive,Agus-Sylvi,12. #AHY dan SBY di puji dan dibela tanpa mereka merasa malu dan merasa bersalah demi mengharapkan dukungan politik dan massa demokrat! ,ahy sby puji bela malu salah harap dukung politik massa demokrat
189,negative,Anies-Sandi,"Berita Badja: Rencana Ahok jika menang atau kalah, Berita Anies-Sandi: hanya kecurangan besar yang bisa mengalahkn kami #pilkadaDKI",berita badja rencana ahok menang kalah berita anies sandi curang mengalahkn pilkadadki
190,positive,Agus-Sylvi,Tandatangan petisi Stop Hoax dan Fitnah serta mendukung gerakan Kebebasan Pers tanpa Hoax dan fitnah. #AHY #Demokrat #demokratbersamarakyat,tandatangan petisi stop hoax fitnah dukung gera bebas pers hoax fitnah ahy demokrat demokratbersamarakyat
191,negative,Anies-Sandi,"Wajah politik santun penuh kata mAnies bertabur wacana, dusta dan Sandiwara... #OKEOCE #salambersama #tetapahok #gue2",wajah politik santun penuh manies tabur wacana dusta sandiwara okeoce salambersama tetapahok gue
192,negative,Anies-Sandi,"Yang bilang Anies Sandi menang pilkada DKI karena menang di visi misi dan program mereka untuk Jakarta, boleh dong RT. <Zipper-Mouth Face>",bilang anies sandi menang pilkada dki menang visi misi program jakarta rt
193,negative,Ahok-Djarot,Awas serbuan warga wahabi dari bogor dan depok #JakartaberAswaja #SJPKB #pilgubDKI #JakartaPunyaSemua @kpudki https://news.detik.com,awas serbu warga wahabi bogor depok jakartaberaswaja sjpkb pilgubdki jakartapunyasemua kpudki
194,positive,Anies-Sandi,Sandiaga: Bangun Rumah DP 0% Lebih Simpel Dibanding Tol Cipali #AniesSandiJawaraJakarta #GubernurGu3 #OkeOce #DP0%,sandiaga bangun rumah dp simpel banding tol cipali aniessandijawarajakarta gubernurgu okeoce dp
195,negative,Agus-Sylvi,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,caci maki ahy pepo memo hrs emis suara kpd orang hina
196,negative,Anies-Sandi,"#AniesSandi menang, pendukungnya puji syukur,#AhokDjarot kalah, pendukungnya nangis.Gak kbayang kalo Anies kalah, apa ada aksi2 & demo lagi?",aniessandi menang dukung puji syukur ahokdjarot kalah dukung nang gak kbayang anies kalah aksi demo
197,positive,Agus-Sylvi,"baru quick count,Ttp kalau hasil kpud benar sampai 2putaran SIAP RAPAT KAN BARISAN SEMUA! SATU KOMANDO! #aniessandi #agussilvy",quick count ttp hasil kpud putaran rapat baris komando aniessandi agussilvy
198,negative,Ahok-Djarot,Kita gembira atas bunga2 buat #AhokDjarot kaga juga bahas2 soal A&S tapi kenapa yang benci tetep fokus sama #Badja yaaa? Perhatian kalian,gembira bunga ahokdjarot kaga bahas benci tetep fokus badja yaaa perhati
199,negative,Agus-Sylvi,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,sayang mayor ahy kader pimpin sma taruna beliau atas lagi pilih pensiundini
200,negative,Ahok-Djarot,bagi2 sembako gratis tim @basuki_btp itu melanggar Pasal 73 Ayat 1 UU No.10 Thn 2016 #pilkadadki2017,bagi sembako gratis tim basukibtp langgar pasal ayat uu no tahun
201,negative,Anies-Sandi,"DP 0 persen ternyata beda dengan DP 0 rupiah, #AniesSandi #QEREN. lha bukannya sama2 0 ?lha 0 persen dari 350jt kan 0 rupiah ?atau beda ?",dp persen beda dp rupiah aniessandi qeren lha sama lha persen rupiah beda
202,negative,Ahok-Djarot,"Yah namanya juga manusia, suka khilaf. Yang paling disayang A...yang diajak buat komitment B, paling ujung-ujungnya nyesel. #AhokDjarot",yah nama manusia suka khilaf sayang ajak komitment ujung ujung nyesel ahokdjarot
